ang1,ang2,ang3,ang4,ang5

129.68,16.55,17.59,5.81,10.14

129.68,16.55,17.59,5.81,10.14

129.41,16.43,17.54,5.75,10.22

129.41,16.43,17.54,5.75,10.22

129.25,16.14,17.48,5.74,10.1

129.25,16.14,17.48,5.74,10.1

129.28,16.35,17.56,5.7,10.05

129.28,16.35,17.56,5.7,10.05

129.39,16.51,17.52,5.71,10.05

129.39,16.51,17.52,5.71,10.05

129.52,16.71,17.53,5.62,10.09

129.72,16.85,17.58,5.77,10.1

129.72,16.85,17.58,5.77,10.1

129.32,16.39,17.55,5.71,10.09

129.32,16.39,17.55,5.71,10.09

129.18,16.25,17.58,5.75,10.13

129.18,16.25,17.58,5.75,10.13

128.92,16.11,17.55,5.69,10.0

128.92,16.11,17.55,5.69,10.0

129.24,16.19,17.44,5.67,10.02

129.24,16.19,17.44,5.67,10.02

129.3,16.57,17.42,5.66,10.05

129.3,16.57,17.42,5.66,10.05

129.23,16.4,17.34,5.7,10.05

129.25,16.3,17.39,5.6,10.0

129.25,16.3,17.39,5.6,10.0

129.66,16.86,17.41,5.52,10.0

129.66,16.86,17.41,5.52,10.0

129.43,16.57,17.31,5.38,9.97

129.43,16.57,17.31,5.38,9.97

128.96,15.96,17.38,5.48,9.95

128.96,15.96,17.38,5.48,9.95

129.36,16.48,17.38,5.52,9.92

129.36,16.48,17.38,5.52,9.92

129.55,16.59,17.5,5.61,10.0

129.55,16.59,17.5,5.61,10.0

129.59,16.53,17.6,5.66,10.13

130.56,17.39,17.72,5.68,10.05

130.56,17.39,17.72,5.68,10.05

127.48,14.45,17.79,5.76,10.03

127.48,14.45,17.79,5.76,10.03

129.72,16.01,16.23,6.29,9.99

129.72,16.01,16.23,6.29,9.99

130.4,18.21,17.29,5.81,10.02

130.4,18.21,17.29,5.81,10.02

129.76,17.22,17.51,5.68,9.99

129.76,17.22,17.51,5.68,9.99

129.47,16.73,17.28,5.72,9.89

129.47,16.73,17.28,5.72,9.89

129.48,16.67,17.32,5.76,9.89

129.48,16.67,17.32,5.76,9.89

129.69,16.94,17.5,5.72,9.95

129.77,16.86,17.64,5.77,10.04

129.77,16.86,17.64,5.77,10.04

129.96,17.1,17.63,5.66,9.96

129.96,17.1,17.63,5.66,9.96

129.88,16.85,17.61,5.68,9.99

129.88,16.85,17.61,5.68,9.99

129.19,16.48,17.53,5.76,10.03

129.19,16.48,17.53,5.76,10.03

129.43,16.55,17.58,5.75,10.01

129.43,16.55,17.58,5.75,10.01

130.0,17.22,17.57,5.82,10.03

130.0,17.22,17.57,5.82,10.03

130.04,17.01,17.61,5.76,10.07

129.68,16.67,17.71,5.56,10.09

129.68,16.67,17.71,5.56,10.09

129.52,16.66,17.62,5.62,10.04

129.52,16.66,17.62,5.62,10.04

129.94,17.01,17.59,5.69,10.08

129.94,17.01,17.59,5.69,10.08

129.71,16.92,17.47,5.76,10.03

129.71,16.92,17.47,5.76,10.03

130.06,17.18,17.54,5.61,10.04

130.06,17.18,17.54,5.61,10.04

129.9,17.02,17.49,5.65,10.04

129.9,17.02,17.49,5.65,10.04

130.1,17.32,17.47,5.67,9.96

130.1,17.32,17.47,5.67,9.96

129.63,16.88,17.53,5.66,9.96

129.78,16.84,17.53,5.68,9.98

129.78,16.84,17.53,5.68,9.98

129.54,16.63,17.59,5.65,10.01

129.54,16.63,17.59,5.65,10.01

129.92,17.21,17.64,5.72,10.03

129.92,17.21,17.64,5.72,10.03

130.13,17.45,17.67,5.76,10.03

130.13,17.45,17.67,5.76,10.03

129.78,16.9,17.69,5.78,10.01

129.78,16.9,17.69,5.78,10.01

130.03,17.11,17.63,5.71,10.02

130.03,17.11,17.63,5.71,10.02

130.27,17.35,17.66,5.76,10.02

130.01,16.93,17.67,5.77,9.98

130.01,16.93,17.67,5.77,9.98

129.71,16.85,17.64,5.79,9.91

129.71,16.85,17.64,5.79,9.91

129.37,16.5,17.64,5.86,9.94

129.37,16.5,17.64,5.86,9.94

129.89,17.02,17.56,5.86,9.97

129.89,17.02,17.56,5.86,9.97

129.7,16.99,17.47,5.85,9.99

129.7,16.99,17.47,5.85,9.99

129.79,17.09,17.58,5.72,9.96

129.79,17.09,17.58,5.72,9.96

129.73,16.86,17.52,5.69,10.01

129.73,16.86,17.52,5.69,10.01

129.74,16.92,17.58,5.78,10.0

130.07,16.92,17.67,5.83,9.98

130.07,16.92,17.67,5.83,9.98

129.81,16.59,17.81,5.78,10.06

129.81,16.59,17.81,5.78,10.06

129.67,16.77,17.77,5.67,10.02

129.67,16.77,17.77,5.67,10.02

130.0,16.76,17.79,5.75,10.12

130.0,16.76,17.79,5.75,10.12

129.87,17.06,17.7,5.77,10.16

129.87,17.06,17.7,5.77,10.16

129.78,16.72,17.71,5.71,10.08

129.78,16.72,17.71,5.71,10.08

129.41,16.47,17.81,5.66,10.1

129.83,16.84,17.72,5.61,10.08

129.83,16.84,17.72,5.61,10.08

130.34,17.31,17.76,5.53,10.11

130.34,17.31,17.76,5.53,10.11

